10YAT-APG------L
10YBE----------2
10YCA-BULGARIA-R
10YCY-1001A0003J
10YCZ-CEPS-----N
10YDE-ENBW-----N
10YDE-EON------1
10YDE-RWENET---I
10YDE-VE-------2
11YRBAHNSTROM--P
10YDK-1--------W
10YDK-2--------M
10Y1001A1001A39I
10YGR-HTSO-----Y
10YES-REE------0
10YFI-1--------U
10YFR-RTE------C
10YHR-HEP------M
10YHU-MAVIR----U
10YIE-1001A00010
10Y1001A1001A66F
10Y1001A1001A67D
10Y1001A1001A68B
10Y1001A1001A70O
10Y1001A1001A71M
10Y1001A1001A73I
10Y1001A1001A74G
10Y1001A1001A75E
10Y1001A1001A788
10Y1001A1001A80L
10Y1001A1001A81J
10Y1001A1001A877
10Y1001A1001A885
10Y1001A1001A893
10Y1001C--000611
10Y1001C--00096J
10YLT-1001A0008Q
10YLU-CEGEDEL-NQ
10YLV-1001A00074
10YNL----------L
10YPL-AREA-----S
10YPT-REN------W
10YRO-TEL------P
10Y1001A1001A44P
10Y1001A1001A45N
10Y1001A1001A46L
10Y1001A1001A47J
10YSI-ELES-----O
10YSK-SEPS-----K
10Y1001A1001A016
10Y1001A1001A63L
10Y1001A1001A59C
10YIT-GRTN-----B
10Y1001A1001A91G
10YSE-1--------K
21Y000000000009E
21Y000000000023K
21Y000000000026E
21Y---A001A001-B
21Y000000000003Q
21Y000000000106G
21Y0000000001359
21Y000000000131H
21Y---A002A005-T
21Y000000000078W
21Y000000000001U
21Y0000000001278
21Y000000000105I
39YSINBP000000NE
21Y---A001A009-O
21Y---A001A010-A
21Y000000000079U
21Y000000000101Q
21YNL----TTF---1
21Y000000000087V
21Y000000000085Z
21Y000000000086X
16ZVTP---------N
60Y000000000001I
21Z0000000004693
21Y000000000103M
21Z000000000248J
58Z--VTPN-NAT--1
37Z005053MH0000D
66Y-00000000001F
37Y005053MH0000R
21Y000000000123G
21Y---A001A004-2
21Y---A001A012-4
21Y---A001A013-1
21Z000000000172Q
21Z000000000173O
21Z000000000216W
21Z000000000217U
21Z000000000001G
21Z000000000002E
21Z0000000001240
21Z000000000125Z
21Z000000000161V
21Z000000000256K
21Z000000000257I
21Z000000000258G
21Z000000000003C
21Z000000000004A
21Z0000000000058
21Z000000000175K
21Z0000000000082
21Z0000000000090
21Z000000000102A
21Z0000000001046
21Z0000000002115
21Z000000000245P
21Z000000000246N
21Z0000000000155
21Z0000000000163
21Z000000000147P
21Z000000000174M
21Z000000000010F
21Z000000000011D
21Z0000000001038
21Z000000000359A
21Z0000000000139
21Z0000000000147
21Z0000000000171
21Z000000000019Y
21Z0000000001054
21Z0000000001062
58Z-IP-00034-STZ
21Z000000000137S
21Z0000000002798
58Z-000000007-KZ
58Z-00000015-S2M
21Z000000000157M
58Z-VTP-ICGB-BGN
21Z000000000156O
21Z0000000000066
21Z0000000001321
21Z000000000136U
21Y---A001A016-T
